rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.5,0.0,1.0,0.0,1.0,1.0,0.0
0.5,0.0,2.0,0.0,1.0,1.0,0.0
0.5,0.0,5.0,0.0,1.0,1.0,0.0
0.5,0.0,10.0,0.0,1.0,1.0,0.0
0.5,0.0,100.0,0.0,1.0,1.0,0.0
0.5,0.0,1000.0,0.0,1.0,1.0,0.0
0.5,0.0,Inf,0.0,1.0,1.0,0.0
0.5,0.0,1.0,0.005,0.994999743643688,0.995,0.005
0.5,0.0,2.0,0.005,0.9949994161146597,0.995,0.006666666666666667
0.5,0.0,5.0,0.005,0.9949977798070708,0.995,0.008333333333333333
0.5,0.0,10.0,0.005,0.9949952766151817,0.995,0.009090909090909092
0.5,0.0,100.0,0.005,0.9949504444592479,0.995,0.009900990099009901
0.5,0.0,1000.0,0.005,0.9944839896340496,0.995,0.00999000999000999
0.5,0.0,Inf,0.005,0.9850500000001331,0.995,0.01
0.5,0.0,1.0,0.01,0.989996200915132,0.99,0.01
0.5,0.0,2.0,0.01,0.9899923698798409,0.99,0.013333333333333334
0.5,0.0,5.0,0.01,0.9899803909401179,0.99,0.016666666666666666
0.5,0.0,10.0,0.01,0.9899605429333168,0.99,0.018181818181818184
0.5,0.0,100.0,0.01,0.9895976591170806,0.99,0.019801980198019802
0.5,0.0,1000.0,0.01,0.9859154209003647,0.99,0.01998001998001998
0.5,0.0,Inf,0.01,0.9702000000000882,0.99,0.02
0.5,0.0,1.0,0.015,0.9849868406579776,0.985,0.015
0.5,0.0,2.0,0.015,0.9849736433840792,0.985,0.02
0.5,0.0,5.0,0.015,0.9849335951840231,0.985,0.024999999999999998
0.5,0.0,10.0,0.015,0.9848667455896482,0.985,0.02727272727272727
0.5,0.0,100.0,0.015,0.983628293148009,0.985,0.0297029702970297
0.5,0.0,1000.0,0.015,0.9734369841936231,0.985,0.029970029970029972
0.5,0.0,Inf,0.015,0.9554500000000512,0.985,0.03
0.5,0.0,1.0,0.02,0.9799687623412365,0.98,0.02
0.5,0.0,2.0,0.02,0.979937461445925,0.98,0.02666666666666667
0.5,0.0,5.0,0.02,0.9798429692460361,0.98,0.03333333333333333
0.5,0.0,10.0,0.02,0.979684769062028,0.98,0.03636363636363637
0.5,0.0,100.0,0.02,0.9767327230213525,0.98,0.039603960396039604
0.5,0.0,1000.0,0.02,0.9587913136775597,0.98,0.03996003996003996
0.5,0.0,Inf,0.02,0.9407999999999822,0.98,0.04
0.5,0.0,1.0,0.025,0.9749391830695372,0.975,0.025
0.5,0.0,2.0,0.025,0.9748782283154439,0.975,0.03333333333333333
0.5,0.0,5.0,0.025,0.974694355829104,0.975,0.041666666666666664
0.5,0.0,10.0,0.025,0.974385759478148,0.975,0.045454545454545456
0.5,0.0,100.0,0.025,0.9686672511861139,0.975,0.04950495049504951
