rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.05,0.1,5.0,0.0,1.0,1.0,0.0
0.05,0.1,5.0,0.001,0.9990897185652351,0.9990909842783086,0.016666666666666666
0.05,0.1,5.0,0.002,0.9981703636076829,0.9981821191553855,0.03333333333333333
0.05,0.1,5.0,0.003,0.9972327245070352,0.9972734049678428,0.049999999999999996
0.05,0.1,5.0,0.004,0.9962670532599659,0.9963648420531718,0.06666666666666667
0.05,0.1,5.0,0.005,0.9952627149786385,0.9954564307497449,0.08333333333333333
0.05,0.1,5.0,0.006,0.9942079035574531,0.9945481713968187,0.09999999999999999
0.05,0.1,5.0,0.007,0.9930892749243941,0.9936400643345358,0.11666666666666667
0.05,0.1,5.0,0.008,0.9918914950475229,0.9927321099039272,0.13333333333333333
0.05,0.1,5.0,0.009,0.9905967801601028,0.991824308446915,0.15
0.05,0.1,5.0,0.01,0.9891843600191298,0.9909166603063145,0.16666666666666666
0.05,0.1,5.0,0.011,0.9876299497780066,0.9900091658258365,0.1833333333333333
0.05,0.1,5.0,0.012,0.9859052757146317,0.98910182535009,0.19999999999999998
0.05,0.1,5.0,0.013,0.9839777557984257,0.9881946392245843,0.21666666666666667
0.05,0.1,5.0,0.014,0.9818104592433323,0.9872876077957314,0.23333333333333334
0.05,0.1,5.0,0.015,0.9793624328877777,0.9863807314108489,0.24999999999999997
0.05,0.1,5.0,0.016,0.9765895695546271,0.9854740104181616,0.26666666666666666
0.05,0.1,5.0,0.017,0.973445746578298,0.9845674451668043,0.2833333333333333
0.05,0.1,5.0,0.018,0.9698843143944404,0.9836610360068244,0.3
0.05,0.1,5.0,0.019,0.9658595579353461,0.9827547832891841,0.31666666666666665
0.05,0.1,5.0,0.02,0.9613279542752577,0.9818486873657627,0.3333333333333333
0.05,0.1,5.0,0.021,0.9562490859131624,0.9809427485893591,0.35000000000000003
0.05,0.1,5.0,0.022,0.9505861610126718,0.9800369673136947,0.3666666666666666
0.05,0.1,5.0,0.023,0.9443061917300106,0.979131343893415,0.3833333333333333
0.05,0.1,5.0,0.024,0.9373798342277594,0.9782258786840926,0.39999999999999997
0.05,0.1,5.0,0.025,0.9297811357024126,0.9773205720422296,0.41666666666666663
0.05,0.1,5.0,0.026,0.9214870931128933,0.9764154243252597,0.43333333333333335
0.05,0.1,5.0,0.027,0.9124772046180106,0.9755104358915512,0.45
0.05,0.1,5.0,0.028,0.9027330222087321,0.9746056071004089,0.4666666666666667
0.05,0.1,5.0,0.029,0.892237748087467,0.9737009383120769,0.4833333333333334
0.05,0.1,5.0,0.03,0.88097590231282,0.9727964298877411,0.49999999999999994
0.05,0.1,5.0,0.031,0.8689330937332826,0.9718920821895314,0.5166666666666666
0.05,0.1,5.0,0.032,0.8560959219853463,0.9709878955805242,0.5333333333333333
0.05,0.1,5.0,0.033,0.8424520616715002,0.9700838704247454,0.5499999999999999
0.05,0.1,5.0,0.034,0.8279905978560235,0.9691800070871722,0.5666666666666667
0.05,0.1,5.0,0.035,0.812702724234069,0.9682763059337357,0.5833333333333334
0.05,0.1,5.0,0.036,0.7965829812543661,0.967372767331324,0.6
0.05,0.1,5.0,0.037,0.7796313226972835,0.9664693916477839,0.6166666666666667
0.05,0.1,5.0,0.038,0.7618564968023123,0.9655661792519239,0.6333333333333333
0.05,0.1,5.0,0.039,0.7432815945723155,0.9646631305135165,0.65
0.05,0.1,5.0,0.04,0.7239536824455386,0.9637602458033007,0.6666666666666666
0.05,0.1,5.0,0.041,0.7039622371866043,0.9628575254929849,0.6833333333333333
0.05,0.1,5.0,0.042,0.6834944199694025,0.9619549699552487,0.7000000000000001
0.05,0.1,5.0,0.043,0.6628011713134443,0.961052579563746,0.7166666666666666
0.05,0.1,5.0,0.044,0.6420538554374067,0.9601503546931074,0.7333333333333332
0.05,0.1,5.0,0.045,0.6213835834147011,0.9592482957189425,0.7499999999999999
0.05,0.1,5.0,0.046,0.600897447581408,0.958346403017843,0.7666666666666666
0.05,0.1,5.0,0.047,0.580684447529503,0.9574446769673842,0.7833333333333332
0.05,0.1,5.0,0.048,0.560818649012486,0.9565431179461289,0.7999999999999999
0.05,0.1,5.0,0.049,0.5413614027539704,0.9556417263336286,0.8166666666666667
0.05,0.1,5.0,0.05,0.5223629880239444,0.9547405025104273,0.8333333333333333
0.05,0.1,5.0,0.051,0.5038639540020892,0.9538394468580629,0.85
0.05,0.1,5.0,0.052,0.4858962340395335,0.9529385597590707,0.8666666666666667
0.05,0.1,5.0,0.053,0.46848415108236374,0.9520378415969853,0.8833333333333333
0.05,0.1,5.0,0.054,0.4516452496335459,0.9511372927563438,0.9
0.05,0.1,5.0,0.055,0.4353911455850581,0.9502369136226876,0.9166666666666667
0.05,0.1,5.0,0.056,0.41972816814753044,0.9493367045825656,0.9333333333333333
0.05,0.1,5.0,0.057,0.40465803874566486,0.9484366660235365,0.9500000000000001
0.05,0.1,5.0,0.058,0.3901784553611828,0.9475367983341715,0.9666666666666668
0.05,0.1,5.0,0.059,0.376283635539557,0.9466371019040569,0.9833333333333333
0.05,0.1,5.0,0.06,0.3629648161196638,0.9457375771237966,0.9999999999999999
0.05,0.1,5.0,0.061,0.3502107131665173,0.9448382243850146,1.0166666666666666
0.05,0.1,5.0,0.062,0.33800794458146355,0.943939044080358,1.0333333333333332
0.05,0.1,5.0,0.063,0.3263414171195933,0.9430400366034989,1.0499999999999998
0.05,0.1,5.0,0.064,0.31519467904710485,0.942141202349138,1.0666666666666667
0.05,0.1,5.0,0.065,0.3045502123115851,0.9412425417130061,1.0833333333333333
0.05,0.1,5.0,0.066,0.2943898197521859,0.9403440550918678,1.0999999999999999
0.05,0.1,5.0,0.067,0.2846947406523671,0.9394457428835232,1.1166666666666667
0.05,0.1,5.0,0.068,0.2754459616273267,0.9385476054868112,1.1333333333333333
0.05,0.1,5.0,0.069,0.26662439186526254,0.9376496433016114,1.15
0.05,0.1,5.0,0.07,0.25821103078167384,0.9367518567288476,1.1666666666666667
0.05,0.1,5.0,0.071,0.25018710974020897,0.9358542461704901,1.1833333333333333
0.05,0.1,5.0,0.072,0.2425342097721056,0.9349568120295578,1.2
0.05,0.1,5.0,0.073,0.23523435735553333,0.9340595547101216,1.2166666666666666
0.05,0.1,5.0,0.074,0.22827010038823004,0.9331624746173065,1.2333333333333334
0.05,0.1,5.0,0.075,0.2216245665037706,0.9322655721572948,1.25
0.05,0.1,5.0,0.076,0.21528150584654848,0.9313688477373282,1.2666666666666666
0.05,0.1,5.0,0.077,0.2092253203422174,0.9304723017657108,1.2833333333333332
0.05,0.1,5.0,0.078,0.20344108138745554,0.9295759346518117,1.3
0.05,0.1,5.0,0.079,0.19791453774478973,0.9286797468060672,1.3166666666666667
0.05,0.1,5.0,0.08,0.19263211527401414,0.9277837386399848,1.3333333333333333
0.05,0.1,5.0,0.081,0.18758090996947951,0.9268879105661438,1.35
0.05,0.1,5.0,0.082,0.18274867560845476,0.9259922629982,1.3666666666666667
0.05,0.1,5.0,0.083,0.1781238071556196,0.9250967963508872,1.3833333333333333
0.05,0.1,5.0,0.084,0.17369532091599826,0.9242015110400201,1.4000000000000001
0.05,0.1,5.0,0.085,0.1694528322863642,0.9233064074824973,1.4166666666666667
0.05,0.1,5.0,0.086,0.16538653182477447,0.9224114860963034,1.4333333333333331
