rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.05,0.0,5.0,0.0,1.0,1.0,0.0
0.05,0.0,5.0,6.000000000000001e-5,0.9999331699133531,0.99994,0.001
0.05,0.0,5.0,0.00012000000000000002,0.999877330181126,0.99988,0.002
0.05,0.0,5.0,0.00018,0.9998185927289263,0.99982,0.003
0.05,0.0,5.0,0.00024000000000000003,0.9997591671422377,0.99976,0.004
0.05,0.0,5.0,0.00030000000000000003,0.9996994720272719,0.9997,0.005
0.05,0.0,5.0,0.00036,0.9996396399223448,0.99964,0.006
0.05,0.0,5.0,0.00042000000000000007,0.9995797242156569,0.99958,0.007
0.05,0.0,5.0,0.00048000000000000007,0.999519749440356,0.99952,0.008
0.05,0.0,5.0,0.00054,0.9994597276347617,0.99946,0.009
0.05,0.0,5.0,0.0006000000000000001,0.9993996647370278,0.9994,0.01
0.05,0.0,5.0,0.00066,0.9993395634325494,0.99934,0.011
0.05,0.0,5.0,0.00072,0.9992794245495891,0.99928,0.012
0.05,0.0,5.0,0.00078,0.9992192477977926,0.99922,0.013
0.05,0.0,5.0,0.0008400000000000001,0.999159032178378,0.99916,0.014
0.05,0.0,5.0,0.0009000000000000001,0.9990987762319802,0.9991,0.015
0.05,0.0,5.0,0.0009600000000000001,0.9990384781825854,0.99904,0.016
0.05,0.0,5.0,0.00102,0.9989781360370154,0.99898,0.017
0.05,0.0,5.0,0.00108,0.9989177476450752,0.99892,0.018
0.05,0.0,5.0,0.00114,0.9988573107423085,0.99886,0.019
0.05,0.0,5.0,0.0012000000000000001,0.9987968229758131,0.9988,0.02
0.05,0.0,5.0,0.0012600000000000003,0.9987362819275553,0.99874,0.021
0.05,0.0,5.0,0.00132,0.9986756851276828,0.99868,0.022
0.05,0.0,5.0,0.00138,0.9986150300641969,0.99862,0.023
0.05,0.0,5.0,0.00144,0.9985543141895584,0.99856,0.024
0.05,0.0,5.0,0.0015000000000000002,0.9984935349285428,0.9985,0.025
0.05,0.0,5.0,0.00156,0.9984326896808675,0.99844,0.026
0.05,0.0,5.0,0.00162,0.9983717758238205,0.99838,0.027
0.05,0.0,5.0,0.0016800000000000003,0.9983107907162523,0.99832,0.028
0.05,0.0,5.0,0.0017400000000000002,0.9982497316974538,0.99826,0.029
0.05,0.0,5.0,0.0018000000000000002,0.998188596091947,0.9982,0.03
0.05,0.0,5.0,0.00186,0.9981273812073415,0.99814,0.031
0.05,0.0,5.0,0.0019200000000000003,0.9980660843373076,0.99808,0.032
0.05,0.0,5.0,0.00198,0.9980047027601742,0.99802,0.033
0.05,0.0,5.0,0.00204,0.997943233740085,0.99796,0.034
0.05,0.0,5.0,0.0021000000000000003,0.9978816745279865,0.9979,0.035
0.05,0.0,5.0,0.00216,0.9978200223598312,0.99784,0.036
0.05,0.0,5.0,0.00222,0.9977582744580228,0.99778,0.037
0.05,0.0,5.0,0.00228,0.9976964280312133,0.99772,0.038
0.05,0.0,5.0,0.00234,0.9976344802737627,0.99766,0.039
0.05,0.0,5.0,0.0024000000000000002,0.9975724283654263,0.9976,0.04
0.05,0.0,5.0,0.0024600000000000004,0.9975102694717262,0.99754,0.041
0.05,0.0,5.0,0.0025200000000000005,0.9974480007435863,0.99748,0.042
0.05,0.0,5.0,0.00258,0.9973856193164573,0.99742,0.043
0.05,0.0,5.0,0.00264,0.9973231223108086,0.99736,0.044
0.05,0.0,5.0,0.0026999999999999997,0.9972605068317123,0.9973,0.045
0.05,0.0,5.0,0.00276,0.9971977699675786,0.99724,0.046
0.05,0.0,5.0,0.0028200000000000005,0.9971349087916775,0.99718,0.047
0.05,0.0,5.0,0.00288,0.9970719203597422,0.99712,0.048
0.05,0.0,5.0,0.0029400000000000003,0.9970088017112139,0.99706,0.049
0.05,0.0,5.0,0.0030000000000000005,0.9969455498677026,0.997,0.05
0.05,0.0,5.0,0.0030600000000000002,0.9968821618335002,0.99694,0.051
0.05,0.0,5.0,0.00312,0.996818634594902,0.99688,0.052
0.05,0.0,5.0,0.00318,0.9967549651192481,0.99682,0.053
0.05,0.0,5.0,0.00324,0.9966911503556175,0.99676,0.054
0.05,0.0,5.0,0.0033,0.9966271872337077,0.9967,0.055
0.05,0.0,5.0,0.0033600000000000006,0.9965630726630601,0.99664,0.056
0.05,0.0,5.0,0.0034200000000000003,0.9964988035338237,0.99658,0.057
0.05,0.0,5.0,0.0034800000000000005,0.9964343767153674,0.99652,0.058
0.05,0.0,5.0,0.00354,0.9963697890558026,0.99646,0.059
0.05,0.0,5.0,0.0036000000000000003,0.9963050373824814,0.9964,0.06
0.05,0.0,5.0,0.00366,0.9962401185004535,0.99634,0.061
0.05,0.0,5.0,0.00372,0.9961750291928054,0.99628,0.062
0.05,0.0,5.0,0.00378,0.9961097662197564,0.99622,0.063
0.05,0.0,5.0,0.0038400000000000005,0.996044326318442,0.99616,0.064
0.05,0.0,5.0,0.0039000000000000007,0.9959787062026232,0.9961,0.065
0.05,0.0,5.0,0.00396,0.9959129025612915,0.99604,0.066
0.05,0.0,5.0,0.004020000000000001,0.9958469120597588,0.99598,0.067
0.05,0.0,5.0,0.00408,0.9957807313375411,0.99592,0.068
0.05,0.0,5.0,0.0041400000000000005,0.9957143570091526,0.99586,0.069
0.05,0.0,5.0,0.004200000000000001,0.9956477856629483,0.9958,0.07
0.05,0.0,5.0,0.00426,0.9955810138606875,0.99574,0.071
0.05,0.0,5.0,0.00432,0.995514038137164,0.99568,0.072
0.05,0.0,5.0,0.00438,0.9954468549997915,0.99562,0.073
0.05,0.0,5.0,0.00444,0.9953794609277468,0.99556,0.074
0.05,0.0,5.0,0.0045,0.995311852372062,0.9955,0.075
0.05,0.0,5.0,0.00456,0.9952440257542803,0.99544,0.076
0.05,0.0,5.0,0.004620000000000001,0.9951759774666327,0.99538,0.077
0.05,0.0,5.0,0.00468,0.9951077038710057,0.99532,0.078
0.05,0.0,5.0,0.00474,0.9950392012987755,0.99526,0.079
0.05,0.0,5.0,0.0048000000000000004,0.9949704660502328,0.9952,0.08
0.05,0.0,5.0,0.004860000000000001,0.9949014943933686,0.99514,0.081
0.05,0.0,5.0,0.004920000000000001,0.9948322825646357,0.99508,0.082
0.05,0.0,5.0,0.00498,0.9947628267667189,0.99502,0.083
0.05,0.0,5.0,0.005040000000000001,0.9946931231694425,0.99496,0.084
0.05,0.0,5.0,0.0051,0.9946231679079748,0.9949,0.085
0.05,0.0,5.0,0.00516,0.9945529570834851,0.99484,0.086
